CHILD,SEX,DOB,ETHNIC,UPN,MOTHER,MC_DOB
P4134236,1,18/01/2001,WBRI,F845209505020,,
P4156300,2,14/04/2010,WBRI,B845214814002,0,
P4128345,1,28/03/2007,WBRI,E845309211051,,
P4206627,1,12/11/2010,WBRI,V845211213053,,
P4075986,2,27/01/2004,WBRI,D845300308025,0,
P4177568,1,25/07/2009,WBRI,W845216713040,,
P4096891,2,17/06/2007,WBRI,M845214810024,0,
7011348,1,02/07/2016,WBRI,C845202020049,,
P4186578,2,22/07/2011,WBRI,P845200314054,0,
7014226,1,20/11/2017,WBRI,UN1,,
P4126721,2,03/04/2009,WBRI,X845216112039,0,
P3153165,1,19/07/2000,WBRI,H845309004040,,
P4006670,2,17/08/2001,WBRI,M845701205003,,
P4032421,2,01/09/2003,WBRI,B845214807013,0,
P4045239,1,08/03/2003,WBRI,V845333807010,,
P4080084,2,09/06/2003,WBRI,J845215106038,,
P4083292,1,31/10/2002,WBRI,J845213007019,,
P4090301,2,03/11/2006,WBRI,E845309211103,0,
P4091510,2,02/03/2003,WOTH,M845702407005,,
P4093135,1,23/12/2002,WOTH,H845216207007,,
P4095213,2,17/10/2003,WBRI,V845216106042,0,
P4112950,1,07/05/2008,WBRI,N845212812009,,
P4141652,1,16/12/2008,MWAS,J845216711046,,
P4149318,1,01/09/2004,MOTH,T845303309011,,
P4166049,2,24/01/2011,WBRI,V845201115018,0,
P4167265,2,26/02/2005,WOTH,B845215209002,0,
P4172564,1,24/02/2009,WBRI,J845211313010,,
P4180057,2,11/10/2011,WBRI,L845201216294,0,
P4185099,1,18/10/2002,WBRI,Q846202207001,,
P4201276,2,09/10/2012,WBRI,G845201117012,0,
P4207936,1,07/11/2009,WBRI,V845306314020,,
P4215523,1,17/02/2009,WBRI,L845215212051,,
P4219651,2,25/07/2010,WBRI,B845300614009,0,
P4233290,2,28/06/2004,WBRI,P845207207051,0,
P4244265,1,30/04/2011,WBRI,Y845332115054,,
P4246708,2,30/09/2014,WBRI,B845205919030,0,
P4248630,2,23/08/2014,WBRI,W845215117023,0,
P4249716,2,20/04/2014,WBRI,X845309018066,0,
P4249717,2,20/04/2014,WBRI,L845309018067,0,
P4249953,1,08/09/2014,WBRI,W845208919026,,
P4250132,1,16/11/2014,WBRI,X845208919017,,
P4252250,1,02/11/2013,WBRI,K845211517029,,
P4252952,2,14/09/2002,WBRI,Q204289707027,,
P4257262,1,20/12/2009,WBRI,F845304614018,,
P4271818,1,21/02/2007,WOTH,C845702411012,,
P4273360,1,28/09/2006,WBRI,D845211309011,,
P4292189,2,08/06/2016,WOTH,Y845208920020,0,
7001168,2,24/07/2004,WROM,G886391513079,0,
7003334,2,18/05/2014,WOTH,R845201118021,0,
7003335,1,18/08/2011,WOTH,E845201114025,,
7003617,2,15/02/2006,WROM,T886391513080,0,
7003618,2,07/11/2013,WROM,U845214817037,0,
7003951,1,02/04/2009,WBRI,P845307413019,,
7004963,2,17/08/2016,WBRI,V845205920063,0,
7010358,1,05/02/2009,WBRI,B886520113021,,
7010376,1,30/11/2014,WBRI,U845332419016,,
7012562,1,27/02/2017,WBRI,UN2,,
7015976,2,14/10/2017,WBRI,UN1,0,
7017071,2,05/03/2018,WBRI,UN1,0,
7017181,2,19/03/2004,WBRI,A850232910082,0,
7017485,1,11/08/2005,OOTH,X846406816087,,
7023300,2,01/06/2018,WBRI,UN1,0,
7029424,1,22/04/2002,OOTH,UN2,,
7029580,2,03/09/2018,OOTH,UN1,0,
7029884,2,22/04/2018,WBRI,UN1,0,
7032800,1,01/01/2002,BAFR,UN2,,
7033630,1,14/12/2015,WBRI,T845200119037,,
7034565,1,01/01/2001,BAFR,UN2,,
7034566,1,22/01/2001,BAFR,UN2,,
7034630,2,25/12/2018,WBRI,UN1,0,
7037361,1,12/11/2018,WBRI,UN1,,
7037777,2,29/12/2001,AOTH,UN2,,
7038691,1,15/06/2003,WOTH,P846406817116,,
7038926,1,24/06/2001,AOTH,UN2,,
7038928,1,11/02/2002,AOTH,UN2,,
7038930,1,10/06/2001,AOTH,UN2,,
7038934,1,20/08/2001,AOTH,UN2,,
7039042,1,09/03/2011,WBRI,Y830354715039,,
7039285,1,01/04/2001,BAFR,UN2,,
7044042,1,14/06/2006,AOTH,Z845404418008,,
7044072,2,11/11/2003,AOTH,M84546121804A,0,
7044074,2,30/11/2002,AOTH,UN2,,
7044078,2,05/04/2001,AOTH,UN2,,
7044079,2,06/12/2004,AOTH,N845406318005,0,
7044080,2,10/11/2003,AOTH,Z84546121803A,0,
7044082,1,04/05/2003,AOTH,UN2,,
7044083,1,25/10/2002,AOTH,UN2,,
7044557,1,01/12/2001,AOTH,,,
7045248,1,27/06/2002,OOTH,UN2,,
7045700,2,19/07/2005,AOTH,E845400618004,0,
7045701,1,23/01/2004,AOTH,Q845400618003,,
7045759,2,06/03/2019,WBRI,UN1,0,
7046188,1,01/08/2001,BAFR,UN2,,
7046189,2,20/10/2002,BAFR,UN2,,
7046662,1,01/05/2003,AOTH,UN2,,
7048429,1,01/01/2002,BAFR,UN2,,
7048432,1,10/01/2002,BAFR,UN2,,
7048437,1,01/01/2002,BAFR,UN2,,
7050102,2,20/02/2003,AOTH,UN2,,
7000714,2,18/02/2016,WBRI,W845332420008,0,
7001267,1,08/02/2007,WBRI,M937100309016,,
7005805,1,31/05/2003,BAFR,V938404414021,,
7006727,2,22/04/2017,WBRI,UN2,0,
7007745,2,06/12/2002,WBRI,Q846215707012,,
7010457,2,15/08/2017,WBRI,V845216920114,0,
7013076,1,20/03/2017,WBRI,J845217020041,,
7021992,1,12/05/2004,WBRI,H203241007014,,
7026206,1,15/06/2018,WBRI,UN1,,
7026443,1,01/05/2010,WBRI,Q931200714004,,
7033567,2,06/09/2018,WBRI,B845217020044,0,
7034555,1,10/09/2018,WBRI,UN1,,
7034560,1,10/09/2018,WBRI,K845701721005,,
7036492,1,12/09/2009,BOTH,U938202014027,,
7037454,2,14/01/2019,MOTH,UN1,0,
7037494,1,14/08/2012,WBRI,B845111118007,,
7041896,2,06/01/2003,WOTH,U846331407024,,
7044031,2,08/05/2019,WBRI,UN1,0,
7047063,1,08/07/2019,WBRI,UN1,,
7047532,1,14/08/2016,WBRI,L845335020021,,
7047533,1,25/07/2017,WBRI,V845335020007,,
7048748,2,26/09/2019,WBRI,UN1,0,
7051833,1,18/05/2018,WBRI,X845205920074,,
7052607,2,01/03/2002,WBRI,G845333906011,,
7052921,1,27/11/2001,WBRI,V335210504009,,
7053733,1,08/01/2020,WBRI,UN1,,
7053815,1,19/08/2019,WBRI,UN1,,
7054645,1,02/01/2002,BAFR,UN2,,
7054866,1,01/01/2003,OOTH,UN2,,
7055381,1,12/11/2019,WBRI,UN1,,
7055735,2,10/01/2020,WBRI,UN1,0,
7056198,2,23/01/2020,WBRI,UN1,0,
7056312,2,10/02/2020,WBRI,UN1,0,
7056344,2,28/12/2019,WBRI,UN1,0,
7056481,1,07/05/2004,OOTH,Z845461219002,,
7057705,2,05/11/2003,AOTH,UN2,0,
7057706,1,13/12/2005,AOTH,UN2,,
7057708,1,02/05/2002,AOTH,UN2,,
7057755,1,10/10/2003,OOTH,UN2,,
7058208,2,14/02/2020,WBRI,UN1,0,
7058520,2,21/08/2019,OOTH,UN1,0,
7058651,1,20/05/2002,AOTH,UN2,,
7059031,1,12/11/2019,WBRI,UN1,,
7060288,1,12/10/2003,BAFR,UN2,,
7060954,1,08/01/2004,OOTH,UN2,,
7063277,1,01/08/2002,AOTH,UN2,,
7065512,1,01/01/2004,OOTH,UN2,,
7065942,2,06/01/2020,WBRI,UN1,0,
7067817,1,22/01/2004,BAFR,UN2,,
7067934,1,01/11/2004,BAFR,U845461020002,,
7068437,1,05/02/2003,BAFR,UN2,,
P4033609,1,26/12/2003,WBRI,D845208708033,,
P4048596,1,12/02/2005,WBRI,Y845212009050,,
P4049921,1,31/08/2004,WBRI,A845217007018,,
P4053669,2,22/06/2004,WBRI,A845205908073,0,
P4058435,2,15/08/2003,WBRI,Y845205306013,,
P4059933,2,16/11/2004,MOTH,L820203808025,0,
P4083699,2,26/04/2006,WBRI,V845335009034,0,
P4092510,2,09/11/2003,WBRI,A845332408027,0,
P4104139,1,04/01/2008,WBRI,Z845335011038,,
P4112821,2,21/04/2008,MOTH,U871219511036,0,
P4117497,2,28/11/2002,WBRI,N919342407024,,
P4123571,2,23/01/2004,WBRI,B845304808005,,
P4131272,1,29/12/2007,WBRI,N845335012013,,
P4143968,2,24/12/2005,WBRI,A845215209009,0,
P4144964,1,31/12/2009,WROM,N845216614003,,
P4156495,1,30/04/2005,WBRI,C845703009012,,
P4162645,1,02/07/2003,WBRI,Q845215106044,,
P4166393,2,10/06/2005,WBRI,L845333509015,0,
P4166543,2,31/07/2010,WBRI,E845304013037,0,
P4166689,2,04/07/2002,WBRI,V210216105055,,
P4190030,1,19/01/2011,MOTH,E845335015001,,
P4204999,1,06/08/2008,WBRI,E845212412029,,
P4206283,2,20/11/2011,WROM,G845400220063,0,
P4222608,2,04/07/2005,MWBC,T845303209026,0,
P4232988,2,26/06/2013,WBRI,Z845335417009,0,
P4243480,1,22/04/2011,MOTH,P210520715039,,
P4247749,1,02/06/2010,WBRI,H845701713004,,
P4252420,1,10/08/2014,WBRI,N845200618020,,
P4256714,2,03/11/2011,MWAS,B845201216286,0,
P4259677,1,25/01/2015,WBRI,N845335419014,,
P4265467,2,27/10/2003,WBRI,E845205908010,1,21/10/2021
P4271593,1,07/06/2015,WBRI,J845212019041,,
P4272951,2,08/03/2004,MOTH,G845215108029,0,
P4282462,1,12/03/2003,WBRI,,,
7000548,2,20/07/2016,WBRI,M845201120010,0,
7001308,2,25/10/2016,WBRI,P845201721040,0,
7001974,1,03/12/2016,WBRI,L845402721013,,
7003539,1,26/11/2013,WBRI,M845212718043,,
7005054,2,08/01/2016,WBRI,B845213520034,0,
7005446,2,31/10/2003,WBRI,N845215208047,0,
7006666,1,25/08/2003,MWBA,Q919235306023,,
7010874,2,07/08/2017,WBRI,Z845201121030,0,
7011230,1,21/10/2017,WBRI,UN1,,
7013159,1,26/04/2017,WBRI,Q845205919087,,
7013700,2,28/07/2017,MWBC,UN2,0,
7014422,2,05/10/2017,WBRI,UN1,0,
7015949,1,03/10/2017,WBRI,M845202619036,,
7021003,2,30/12/2017,MOTH,UN1,0,
7024174,1,06/08/2004,MWBA,W310209708015,,
7032960,2,22/11/2018,MOTH,UN1,0,
7034108,2,06/11/2012,WBRI,T845301716013,0,
7034109,1,27/08/2017,WBRI,G845301721001,,
7036470,2,25/08/2018,WBRI,UN1,0,
7038217,2,06/03/2019,WBRI,UN1,0,
7041047,2,05/02/2019,WBRI,UN1,0,
7041520,1,14/04/2018,MOTH,UN1,,
7047658,1,14/08/2018,WOTH,UN1,,
7047800,1,01/12/2018,BCRB,UN1,,
7047854,2,19/07/2019,WBRI,UN1,0,
7048360,1,27/03/2019,WBRI,UN1,,
7048479,1,04/11/2018,WBRI,UN1,,
7051256,2,15/10/2019,WBRI,UN1,0,
7053528,1,28/11/2019,WBRI,UN1,,
7053640,1,06/12/2013,OOTH,K304207318065,,
7057448,2,05/03/2020,WBRI,UN1,0,
7058625,2,11/12/2007,WBRI,C846200612020,0,
7058647,1,09/04/2020,WBRI,UN1,,
7059060,1,16/04/2020,WBRI,UN1,,
7060359,1,09/04/2020,OOTH,UN1,,
7062177,1,08/05/2020,WBRI,UN1,,
7062684,1,30/09/2019,MWBA,UN1,,
7063278,1,24/01/2020,MOTH,UN1,,
7064198,1,10/01/2020,MWBA,UN1,,
7064287,2,04/04/2020,WBRI,UN1,0,
7064458,2,04/11/2019,WBRI,UN1,0,
7065332,2,26/07/2020,WBRI,UN1,0,
7065444,2,02/08/2020,WBRI,UN1,0,
7067443,1,07/05/2020,MOTH,UN1,,
7067526,1,11/09/2020,WBRI,UN1,,
7068084,1,28/02/2020,MOTH,UN1,,
7068453,2,04/04/2020,WBRI,UN1,0,
7068721,1,25/09/2020,WBRI,UN1,,
7069092,1,07/03/2015,WBRI,X883246219053,,
7069093,1,02/03/2011,WBRI,M886211915108,,
7069094,1,05/08/2012,WBRI,Z883247215092,,
7069095,2,13/07/2016,WBRI,D845201120022,0,
7069116,1,11/05/2020,WIRT,UN1,,
7069700,1,25/04/2003,OOTH,UN2,,
7069701,1,09/04/2003,OOTH,UN2,,
7069737,1,08/04/2003,MOTH,UN2,,
7069928,1,22/04/2003,OOTH,UN2,,
7069929,1,17/10/2004,AOTH,E845461020001,,
7069930,1,22/08/2004,AOTH,UN2,,
7069931,1,21/10/2003,OOTH,UN2,,
7069932,1,21/06/2003,OOTH,UN2,,
7069933,1,02/04/2003,AOTH,UN2,,
7070249,1,24/09/2020,WOTH,UN1,,
7070268,2,02/03/2020,WBRI,UN1,0,
7070270,1,08/10/2016,WBRI,C845202621012,,
7070902,1,21/12/2002,MOTH,UN2,,
7070905,1,01/05/2003,AOTH,UN2,,
7071372,2,29/07/2018,WBRI,UN1,0,
7071373,1,26/11/2020,WBRI,UN1,,
7071456,1,13/12/2003,BAFR,UN2,,
7071529,1,26/10/2020,WBRI,UN1,,
7071971,2,21/09/2020,MWBC,UN1,0,
7072884,2,10/07/2020,WBRI,UN1,0,
7072934,1,05/01/2021,WBRI,UN1,,
7072986,1,01/01/2008,AOTH,UN2,,
7073394,1,05/01/2004,OOTH,UN2,,
7073395,1,27/07/2004,AOTH,UN2,,
7073780,1,27/02/2021,WBRI,UN1,,
7074460,1,01/01/2003,BAFR,UN2,,
7074666,1,04/04/2003,BAFR,UN2,,
7074667,1,10/08/2004,BAFR,UN2,,
7074668,1,01/02/2004,BAFR,UN2,,
7074669,1,05/07/2004,BAFR,UN2,,
7074742,2,03/03/2021,WBRI,UN1,0,
7074743,2,03/03/2021,WBRI,UN1,0,
7074960,1,23/08/2020,WBRI,UN1,,
7075393,1,05/05/2005,BAFR,UN2,,
7075565,1,07/12/2003,BAFR,UN2,,
7075566,1,05/04/2003,BAFR,UN2,,
7077000,1,01/01/2006,OOTH,F845461120004,,
7077001,1,26/10/2003,OOTH,UN2,,
7077238,1,21/01/2021,WBRI,UN1,,
7077390,1,28/12/2004,AOTH,D845406320010,,
7201909,1,20/04/2004,BAFR,UN2,,
7202499,1,22/05/2003,OOTH,UN2,,
7202523,1,16/05/2004,BAFR,UN2,,
7202729,1,15/07/2006,BAFR,UN2,,
7202954,1,10/07/2004,BAFR,UN2,,
7202955,1,11/02/2004,BAFR,UN2,,
7203350,1,12/02/2004,AOTH,UN2,,
7203351,1,02/05/2003,OOTH,UN2,,
7203352,1,22/04/2003,OOTH,UN2,,
7203353,1,24/10/2004,OOTH,UN2,,
7203443,1,25/06/2004,AOTH,UN2,,
7203534,1,31/05/2003,AOTH,UN2,,
7203535,1,23/08/2006,AOTH,G845406320012,,
P4048405,1,08/10/2004,WBRI,F845210409029,,
P4073046,1,13/02/2004,WOTH,F845701207001,,
P4078693,2,13/07/2006,WBRI,U845309010083,0,
P4087232,2,08/03/2007,WBRI,C845215411028,0,
P4098840,1,28/09/2006,WBRI,X845309211083,,
P4102702,1,15/09/2005,WBRI,C845207709009,,
P4103238,2,21/04/2007,WBRI,J886266111001,0,
P4111223,1,05/07/2009,WBRI,V845205913074,,
P4114087,1,24/03/2006,WBRI,N845309310021,,
P4115483,2,01/05/2006,WBRI,M845335009037,0,
P4119725,2,08/04/2005,MWBA,N845210309014,0,
P4122471,1,04/07/2005,MOTH,C845335309011,,
P4122629,2,15/04/2008,MWBC,N845300612026,0,
P4140554,2,19/09/2006,WBRI,V845215411004,0,
P4141469,1,08/12/2009,WBRI,K845214813016,,
P4142622,2,19/06/2009,WBRI,H845335012056,0,
P4144222,1,21/03/2003,WBRI,M845211206096,,
P4148293,2,28/06/2008,WBRI,A845200012042,0,
P4148547,1,11/06/2007,WBRI,R845212811012,,
P4149870,1,08/04/2009,WBRI,G845205713011,,
P4153311,1,09/09/2009,WBRI,A84521301235A,,
P4156311,2,22/06/2010,WBRI,H845213614116,0,
P4158742,2,01/08/2006,WBRI,H845335009073,0,
P4165171,2,11/01/2008,WBRI,E845216812010,0,
P4167802,2,23/02/2004,WBRI,N938223508025,0,
P4177267,2,16/06/2010,WBRI,K845309214040,0,
P4184018,1,13/04/2007,WBRI,R845213011002,,
P4185345,1,14/12/2011,WBRI,Y845205916023,,
P4190447,1,07/09/2009,MWBA,K845205914067,,
P4191946,2,30/08/2011,WBRI,J845215215014,0,
P4195267,2,26/08/2006,WBRI,P938220210007,0,
P4204838,2,04/07/2012,WBRI,U845213015075,0,
P4204840,1,04/07/2012,WBRI,E845213015074,,
P4206051,2,29/07/2012,WBRI,F845213716038,0,
P4208787,1,15/10/2012,WBRI,Q845216917026,,
P4209873,2,08/10/2010,WBRI,X845701215003,0,
P4213516,2,29/08/2011,WOTH,M845217015027,0,
P4218259,1,08/08/2013,WBRI,Q845212017043,,
P4224597,1,28/08/2013,WBRI,C845335016047,,
P4231576,1,23/03/2009,WBRI,K845205613001,,
P4249494,1,02/04/2009,WBRI,W845309013068,,
P4251778,1,17/10/2014,WBRI,Y845201118054,,
P4252839,2,18/08/2014,WBRI,Q845216918056,0,
P4274164,2,02/07/2015,WBRI,H845201719052,0,
P4279698,2,17/09/2015,WBRI,B845201120009,0,
P4280247,1,13/10/2008,BCRB,B311208414067,,
P4280248,1,17/08/2009,BCRB,Q311208414068,,
P4282709,1,25/01/2016,WBRI,G852240520001,,
P4284599,1,25/05/2010,WBRI,B845208714010,,
P4285042,1,06/01/2014,WBRI,Z845216118002,,
P4285044,1,29/06/2011,WBRI,V845216115004,,
P4287186,2,13/11/2015,WBRI,Q845202518106,0,
P4290340,1,29/11/2011,WBRI,H845201916044,,
P4291791,1,20/04/2015,WOTH,R845309219051,,
P4291930,1,17/06/2015,MWBC,W845300619003,,
7000086,2,26/08/2016,WBRI,H845215119073,0,
7003455,2,24/08/2016,MOTH,C845213019040,0,
7005702,1,18/08/2006,WBRI,M306203009016,,
7005703,1,23/02/2010,WBRI,B306690913033,,
7005704,1,31/07/2014,WBRI,D845210318026,,
7006366,1,02/08/2016,WBRI,P845202020041,,
7007030,1,16/02/2017,WBRI,N845400221039,,
7007886,1,11/12/2016,WBRI,Q845215321020,,
7009030,1,19/10/2016,MWBC,Q845306321014,,
7009457,2,11/06/2014,WBRI,U845201018020,0,
7009458,2,11/06/2014,WBRI,H845201018019,0,
7009459,1,10/03/2017,WBRI,UN2,,
7012103,1,15/05/2017,WBRI,C845335021005,,
7012859,2,02/05/2017,WBRI,UN2,0,
7013842,2,07/10/2013,WIRT,P938220118063,0,
7017890,1,07/03/2015,WBRI,J845301819013,,
7022309,1,24/07/2004,WBRI,H845333908004,,
7023100,2,31/05/2009,WOTH,P845333213023,0,
7024105,1,21/03/2018,WBRI,UN1,,
7024106,1,21/03/2018,WBRI,UN1,,
7025906,1,08/07/2018,WBRI,UN1,,
7029141,2,01/09/2017,WBRI,UN1,0,
7029561,2,06/09/2006,MOTH,Q308204211263,0,
7030038,1,28/08/2018,WBRI,UN1,,
7030110,2,08/11/2016,WBRI,UN2,0,
7032855,1,09/02/2018,WBRI,UN1,,
7033028,2,25/11/2013,WBRI,Y845301818013,0,
7033978,2,05/08/2018,WBRI,G845217020030,0,
7033979,1,05/08/2018,WBRI,W845217020029,,
7035932,2,24/05/2017,WBRI,T845200721010,0,
7036849,1,21/05/2005,OOTH,J306203008123,,
7039431,1,03/10/2012,MWBA,D845213618100,,
7039432,1,26/03/2014,MWBA,L845213618099,,
7039434,1,12/09/2018,MWBA,UN1,,
7039881,1,14/03/2019,WBRI,UN1,,
7040863,2,03/03/2019,MOTH,UN1,0,
7043562,1,16/09/2017,WBRI,UN1,,
7043879,1,04/03/2013,BAFR,T845201117040,,
7043881,1,14/03/2015,BAFR,E845201119003,,
7044222,2,25/04/2014,MOTH,D845213018030,0,
7045140,2,17/06/2019,WBRI,UN1,0,
7047041,2,07/06/2019,WBRI,UN1,0,
7052170,1,24/08/2019,WBRI,UN1,,
7053641,2,28/03/2012,AOTH,T304207318062,0,
7053651,2,02/07/2019,WBRI,UN1,0,
7053652,2,02/07/2019,WBRI,UN1,0,
7053822,2,06/02/2004,WOTH,P845304107071,0,
7055517,1,10/01/2019,WBRI,UN1,,
7058493,2,31/12/2005,MWBA,X210285508105,0,
7060583,2,28/03/2020,WBRI,UN1,0,
7062076,1,18/12/2018,WBRI,UN1,,
7062077,1,24/01/2020,WBRI,UN1,,
7062747,2,22/03/2019,MWBC,UN1,0,
7063830,1,15/06/2019,WBRI,F845300621022,,
7063839,2,14/08/2019,WBRI,UN1,0,
7065081,2,04/10/2019,WBRI,UN1,0,
7065207,2,18/08/2010,AOTH,X845213014128,0,
7069660,1,02/10/2006,WBRI,X936214011045,,
7070412,1,23/03/2018,WBRI,UN1,,
7072151,1,24/12/2003,BOTH,UN2,,
7072208,2,12/09/2020,WBRI,UN1,0,
7072445,1,02/06/2020,WBRI,UN1,,
7074494,1,27/02/2021,MWBC,UN1,,
7074651,1,21/03/2021,MWAS,UN1,,
7076152,2,24/03/2021,MWBC,UN1,0,
7077004,1,31/03/2021,WBRI,UN1,,
7201980,2,29/06/2021,WBRI,UN1,0,
7202320,2,04/06/2021,WBRI,UN1,0,
7202445,2,02/06/2021,WBRI,UN1,0,
7202567,2,09/05/2004,MOTH,UN2,0,
7202778,1,21/07/2021,WBRI,UN1,,
7203122,1,20/04/2021,WBRI,UN1,,
7203316,2,21/04/2021,WBRI,UN1,0,
7203683,2,12/12/2019,MOTH,UN1,0,
7203684,1,29/10/2020,WROM,UN1,,
7204142,2,14/07/2021,WOTH,UN1,0,
7204425,1,08/09/2017,WBRI,V845202620043,,
7204426,2,05/05/2020,WBRI,UN1,0,
7204428,1,05/09/2021,WBRI,UN1,,
7205821,1,19/10/2021,WBRI,UN1,,
7205833,2,03/11/2021,WBRI,UN1,0,
7206758,1,15/02/2004,AOTH,UN2,,
7206813,2,06/04/2012,OOTH,L845216120059,0,
7208018,1,22/09/2021,WBRI,UN1,,
7208117,1,07/01/2022,WROM,UN1,,
7208411,1,08/03/2004,AOTH,UN2,,
7208750,2,23/08/2004,AOTH,UN2,0,
7208792,1,30/09/2021,WROM,UN1,,
7208901,1,10/03/2005,BAFR,UN2,,
7208942,2,06/11/2021,WBRI,UN1,0,
7209064,1,01/11/2003,BAFR,UN2,,
7209065,1,17/11/2003,BAFR,UN2,,
7209300,1,24/11/2021,WBRI,UN1,,
7209464,2,31/12/2021,MOTH,UN1,0,
7209893,1,26/09/2004,AOTH,UN2,,
7210218,1,10/11/2004,OOTH,UN2,,
7210296,1,04/01/2022,MOTH,UN1,,
7210741,1,27/09/2003,OOTH,UN2,,
7210743,1,11/08/2003,OOTH,UN2,,
7210840,2,27/02/2022,WBRI,UN1,0,
7211162,1,28/12/2004,WOTH,UN2,,
7211218,1,01/01/2005,OOTH,UN2,,
7211232,1,10/10/2007,OOTH,UN2,,
7211282,1,02/07/2004,OOTH,UN2,,
7211904,2,23/07/2019,WBRI,UN1,0,
7212723,1,01/11/2004,OOTH,UN2,,
7212725,1,01/10/2006,BAFR,W845403621012,,
7212976,2,28/03/2020,WBRI,UN1,0,
7212977,1,07/07/2021,WBRI,UN1,,
7213345,1,27/03/2005,OOTH,UN2,,
7214002,1,01/01/2007,OOTH,C845461121003,,
7214220,1,18/05/2021,WBRI,UN1,,
7214268,1,28/12/2003,OOTH,UN2,,
7214440,1,01/03/2022,NOBT,UN1,,
7214500,1,01/03/2004,OOTH,UN2,,
7214787,1,11/08/2004,BAFR,UN2,,
7215107,1,19/11/2004,OOTH,UN2,,
7215214,1,28/12/2021,WBRI,UN1,,
7215366,1,22/03/2004,OOTH,UN2,,
7215631,2,13/12/2021,WBRI,UN1,0,
7215724,1,21/02/2005,BAFR,UN2,,
7216523,1,21/01/2005,OOTH,UN2,,
7217069,2,28/02/2022,MOTH,UN1,0,
7217128,1,01/01/2004,OOTH,UN2,,
7217129,1,01/05/2004,OOTH,UN2,,
7217132,1,01/06/2007,OOTH,UN2,,
7217888,1,25/08/2004,OOTH,UN2,,
7218100,1,29/12/2004,OOTH,UN2,,
7218101,1,05/07/2004,OOTH,UN2,,
7218102,1,10/06/2005,BAFR,UN2,,
7218627,2,29/03/2022,WBRI,UN1,0,
7219476,1,06/08/2019,WROM,UN1,,
7219483,1,23/12/2004,OOTH,UN2,,
7219488,2,04/09/2004,BAFR,UN2,0,
7220201,1,01/07/2008,OOTH,UN2,,
7220202,1,15/04/2008,OOTH,UN2,,
7220203,1,04/04/2008,OOTH,UN2,,
7220429,1,10/06/2005,BAFR,UN2,,
7220752,1,24/06/2005,OOTH,UN2,,
7222107,1,01/03/2005,OOTH,UN2,,
7222111,1,01/03/2005,OOTH,UN2,,
7222112,1,30/08/2004,OOTH,UN2,,
7222121,1,26/12/2004,OOTH,UN2,,
7222639,1,26/12/2004,AOTH,UN2,,
7222834,1,01/02/2006,AOTH,UN2,,
7222982,1,23/10/2007,OOTH,UN2,,
7222983,1,08/12/2006,OOTH,UN2,,
7222986,1,22/06/2006,OOTH,UN2,,
7222987,1,15/09/2004,BAFR,UN2,,
7222988,1,14/09/2004,BAFR,UN2,,
7222989,1,22/02/2005,OOTH,UN2,,
P4055385,1,26/09/2004,WBRI,K845215209046,,
P4081969,2,12/02/2006,WBRI,V845215910036,0,
P4082022,1,16/01/2004,WBRI,N845300608013,,
P4082193,1,28/07/2006,WBRI,E845205910019,,
P4083703,1,28/07/2006,WBRI,C845210110028,,
P4084988,2,19/03/2005,WBRI,M845335008065,0,
P4086369,2,23/08/2005,WBRI,L845205909073,0,
P4099272,1,09/10/2007,WBRI,Q845205912078,,
P4107059,1,06/10/2006,WBRI,Q845212111020,,
P4116114,1,26/10/2008,WBRI,M845214113026,,
P4117521,1,29/10/2003,WBRI,J845212808032,,
P4120302,1,27/04/2008,WBRI,W845208712051,,
P4120335,1,30/09/2005,WOTH,D845215209042,,
P4122790,1,27/04/2005,REFU,E845300409002,,
P4123433,2,21/05/2008,WBRI,H845217011001,0,
P4123435,1,31/10/2006,WBRI,A845217010059,,
P4130438,2,02/01/2007,WBRI,M845215111056,0,
P4132032,1,14/07/2008,WBRI,C845212112040,,
P4134862,2,10/08/2009,WBRI,M845215413038,0,
P4135676,1,06/09/2005,WBRI,N845309210065,,
P4139946,1,06/12/2006,WBRI,U845216211019,,
P4148260,1,27/04/2010,WBRI,A845215114042,,
P4151389,2,15/08/2009,WBRI,U845309313008,0,
P4159580,1,23/12/2004,WBRI,D845304509008,,
P4166525,2,16/06/2009,WBRI,K845212112064,0,
P4168765,2,28/11/2009,WBRI,H845200314021,0,
P4169185,1,20/01/2009,WBRI,V845703013001,,
P4171139,1,04/11/2005,WBRI,A845211208023,,
P4172257,1,29/05/2006,MOTH,L845211210004,,
P4177673,2,08/05/2011,WBRI,V845200915028,0,
P4179466,1,14/07/2011,WBRI,E845213014015,,
P4179889,2,04/03/2007,WBRI,Z845211111003,0,
P4184675,2,30/11/2011,WBRI,W845215415057,0,
P4185823,2,11/01/2009,WBRI,K845210713046,0,
P4195477,1,19/01/2011,WOTH,G845215115018,,
P4195917,1,30/09/2011,WBRI,U845214216020,,
P4198052,2,05/05/2012,WBRI,J845400216003,0,
P4199497,1,06/07/2012,WBRI,D845217016013,,
P4199629,2,13/05/2011,WBRI,K845201114038,0,
P4208076,1,08/07/2012,WBRI,B845334516030,,
P4210827,1,05/08/2009,WBRI,N845332113015,,
P4211713,2,17/08/2004,WBRI,F936305508048,0,
P4224065,2,08/11/2008,WBRI,Y845206213022,0,
P4225544,1,10/11/2013,WBRI,Q845202018048,,
P4225622,1,08/08/2013,WBRI,X845200117001,,
